0.6041	0.0
0.8034	0.0001
0.8559	0.221
1.0715	0.3131
1.5982	0.0001
1.6066	0.0006
1.8128	0.0007
1.904	0.0001
1.9148	0.0003
1.9891	0.0
2.0727	0.0
2.1456	0.0
2.15	0.0
2.1531	0.0
2.3655	0.0
2.3693	0.0
2.4576	0.0
2.47	0.0
2.4716	0.0
2.4736	0.0
2.4937	0.0
2.4944	0.0
2.4967	0.0
2.4978	0.0
2.57	0.0006
2.5829	0.0002
2.5862	0.0001
2.5895	0.0002
2.6402	0.0001
2.6932	0.0001
2.6959	0.0009
2.6965	0.0002
2.6975	0.0001
2.709	0.0001
2.7107	0.0
2.8487	0.0283
2.8682	0.5534
2.9242	0.0022
2.9539	0.0002
2.9549	0.0
2.9577	0.0002
2.9618	0.0008
2.9639	0.0
2.9814	0.0013
3.053	0.0193
3.0543	0.0247
3.0581	0.0002
3.0605	0.0004
3.0612	0.0016
3.0772	0.0006
