  3.92915606E-01  5.34534475E-02  1.10605452E-01  3.69768282E-03  3.68701075E-01
 -6.55790749E-02  9.81413043E-02 -2.53963901E-03  3.51154369E-01 -1.16672199E-01
 -1.28105753E-03 -1.59961003E-03  3.65065243E-01 -6.55564041E-02 -9.75575062E-02
 -2.04631313E-03  3.80823937E-01  5.57639260E-02 -1.10856114E-01  2.26494594E-03
  4.08632392E-01  1.18181407E-01 -4.64490731E-03  4.08188484E-04  1.02722386E-01
  9.02973975E-02  9.03672425E-02  8.59623228E-02  9.44331964E-02  1.09713370E-01
 -4.40885232E-01  7.98446990E-02 -6.67994857E-02 -3.56149134E-03  2.11142176E-03
  1.85542663E-01  1.07429596E-01  1.17790483E-03  4.43295629E-01 -2.92186000E-02
  1.01401331E-01 -2.30376314E-03  4.52950622E-01  6.53866703E-02 -6.86523002E-02
 -2.74615925E-03  5.73371249E-02  1.76300331E-01  9.45595760E-02  4.39944366E-04
 -4.03978799E-01 -3.85308702E-03  1.32093847E-01 -6.44844244E-04 -1.65727048E-01
  1.74131720E-04  1.64544417E-01  1.53326931E-01  1.73860801E-02 -1.57031037E-01
 -2.43999451E-01 -1.61890081E-01  8.07539701E-02 -3.89971167E-03 -5.01374118E-01
  6.29003727E-03 -2.68445660E-02  2.06861560E-03 -2.85862227E-01  1.82590000E-02
  1.62109626E-01 -2.25557040E-04  2.18253789E-01 -1.77099582E-01  8.82389382E-02
 -3.40807646E-03  5.05985458E-01  5.14303441E-03 -3.16630848E-02  2.32068588E-03
  2.62804634E-01  4.76651904E-03  1.91494309E-01 -4.00955962E-04 -8.87980089E-02
 -1.77044135E-01 -1.02361547E-01  7.56262681E-02  1.80135962E-01  9.87992670E-02
 -4.75112603E-02 -2.91685692E-01  1.81667855E-01 -3.28120503E-03 -3.33692383E-01
  1.28645515E-01  1.77146676E-01  1.57020941E-03  3.60884141E-01  1.11112805E-01
  1.43287741E-01 -2.70135875E-03 -3.53289995E-02  2.82203916E-01 -1.70704275E-01
  3.55102726E-03 -3.08182151E-01 -1.22219516E-01 -1.68675365E-01 -1.13376674E-03
  3.47410150E-01 -1.17031395E-01 -1.38987843E-01  1.58346046E-03 -2.19036531E-02
 -1.83727038E-01  2.17279116E-01 -1.98932050E-02 -1.70036238E-01  2.10647018E-01
  3.68885653E-01 -9.39434342E-02 -8.09059018E-02  3.13530528E-03 -2.43187308E-01
 -2.62205952E-01 -6.70405908E-02 -2.67182534E-03 -1.53446287E-01 -4.69965904E-02
  3.09053838E-01 -2.49541757E-03  4.09319260E-01  7.99971690E-02  8.42250072E-02
 -6.42986848E-03 -2.14812452E-01  2.86313513E-01  9.06995601E-02 -1.28424761E-03
 -1.71077293E-01  5.38237797E-02 -3.09828396E-01 -8.32822639E-04  2.20013386E-01
 -1.37594371E-01 -8.42618659E-02  2.21671511E-01 -1.26852902E-01 -9.80924824E-02
  8.03718184E-02 -1.81310761E-01 -3.16395133E-01  4.96503608E-03  1.25180723E-02
  1.43175398E-01 -2.60737013E-01  3.55727817E-03  8.13954348E-02  3.38752596E-01
  1.79616065E-03 -4.58002074E-03  8.73365897E-03  1.31506304E-01  2.54397664E-01
 -7.23459814E-03  9.40038506E-02 -1.69006513E-01  3.11716125E-01 -1.33794449E-03
 -9.53965995E-03 -3.15162864E-01 -3.98184189E-04  5.55229225E-03  2.76652150E-01
  1.97413346E-01  2.60896092E-01  1.86987464E-01  2.73020910E-01  2.03081877E-01
 -2.25619179E-01  3.12252065E-02  1.35230469E-01  2.90955317E-03  2.32104017E-01
  1.65239959E-01 -1.96406196E-01  8.42902810E-03 -2.17857560E-01 -1.76417175E-01
 -2.84713053E-02  4.93581968E-03  2.43996774E-01  9.59689305E-02  2.08907767E-01
 -9.24209201E-03 -2.29145607E-01  1.14600110E-01 -1.06908087E-01  1.05397016E-03
  2.22694601E-01 -2.69012417E-01 -4.01148317E-02  1.02298597E-02 -2.13107522E-01
  2.96431821E-01 -2.42694640E-01  2.81053450E-01 -2.25656368E-01  3.08650439E-01
 -1.16227140E-02  3.50069982E-01 -2.03679596E-01  4.16984739E-03  1.51883186E-02
 -3.47327947E-01 -2.22950483E-01 -5.24308120E-03 -2.48064707E-02 -8.46995731E-03
