0.0  1.30794743 4.98414743 5.34034743 6.50354743 6.54934743 7.24354743 7.32204743 7.40644743 7.50684743 7.68574743
0.5  1.31259068 4.99039068 5.34749068 6.51559068 6.56219068 7.24059068 7.32949068 7.40899068 7.50819068 7.69309068
1.0  1.31143381 4.99323381 5.35053381 6.52373381 6.57033381 7.23323381 7.32953381 7.40393381 7.50113381 7.69673381
1.5  1.30522092 4.99322092 5.34992092 6.52832092 6.57432092 7.22142092 7.32292092 7.39212092 7.48722092 7.69762092
2.0  1.29836718 4.99436718 5.34986718 6.53356718 6.57826718 7.20826718 7.31266718 7.37926718 7.47316718 7.70006718
2.5  1.29595160 5.00155160 5.35525160 6.54435160 6.58685160 7.19715160 7.30055160 7.37385160 7.46655160 7.70925160
3.0  1.30120441 5.01730441 5.36890441 6.56360441 6.60320441 7.19000441 7.28740441 7.38270441 7.47260441 7.72800441
3.5  1.31461546 5.04191546 5.39101546 6.59141546 6.62751546 7.18731546 7.27501546 7.40601546 7.49251546 7.75631546
4.0  1.33446161 5.07336161 5.41966161 6.62596161 6.65796161 7.18836161 7.26536161 7.43966161 7.52416161 7.79206161
4.5  1.35789193 5.10839193 5.45169193 6.66409193 6.69179193 7.19219193 7.25879193 7.47849193 7.56379193 7.83209193
5.0  1.38180250 5.14370250 5.48390250 6.70260250 6.72600250 7.19710250 7.25500250 7.51770250 7.60690250 7.87290250
5.5  1.40317935 5.17617935 5.51337935 6.73827935 6.75757935 7.20147935 7.25317935 7.55297935 7.64887935 7.91107935
6.0  1.41906672 5.20266672 5.53696672 6.76816672 6.78376672 7.20316672 7.25176672 7.58046672 7.68506672 7.94356672
6.5  1.42667214 5.22037214 5.55207214 6.78947214 6.80187214 7.20017214 7.24887214 7.59697214 7.71147214 7.96707214
7.0  1.42412834 5.22722834 5.55682834 6.80012834 6.81012834 7.19122834 7.24232834 7.60022834 7.72462834 7.97902834
7.5  1.41185667 5.22375667 5.55175667 6.80065667 6.80885667 7.17745667 7.23175667 7.59035667 7.72415667 7.97865667
8.0  1.39354270 5.21344270 5.54054270 6.79464270 6.80144270 7.16274270 7.21964270 7.57094270 7.71274270 7.96914270
8.5  1.37536663 5.20256663 5.52936663 6.78816663 6.79406663 7.15316663 7.21126663 7.54796663 7.69586663 7.95786663
9.0  1.36311681 5.19691681 5.52411681 6.78701681 6.79211681 7.15441681 7.21161681 7.52731681 7.67901681 7.95181681
9.5  1.35864874 5.19834874 5.52654874 6.79284874 6.79704874 7.16794874 7.22194874 7.51124874 7.66384874 7.95334874
10.0  1.35820314 5.20320314 5.53270314 6.80150314 6.80520314 7.18950314 7.23800314 7.49660314 7.64700314 7.95880314
10.5  1.35418899 5.20388899 5.53508899 6.80478899 6.80908899 7.21088899 7.25178899 7.47718899 7.62178899 7.96038899
11.0  1.33963518 5.19343518 5.52633518 6.79513518 6.80133518 7.22393518 7.25593518 7.44763518 7.58253518 7.95093518
11.5  1.31245615 5.16965615 5.50445615 6.77055615 6.77935615 7.22405615 7.24825615 7.40835615 7.52935615 7.92795615
12.0  1.27674536 5.13664536 5.47314536 6.73494536 6.74664536 7.20974536 7.23434536 7.36634536 7.46904536 7.89494536
12.5  1.24054346 5.10234346 5.44024346 6.69604346 6.71094346 7.18484346 7.22034346 7.33254346 7.41384346 7.85954346
13.0  1.21195465 5.07475465 5.41375465 6.66205465 6.67995465 7.15905465 7.20695465 7.31565465 7.37815465 7.82915465
13.5  1.19610105 5.05880105 5.39860105 6.63800105 6.65880105 7.14010105 7.19480105 7.31810105 7.37190105 7.80870105
14.0  1.19416718 5.05566718 5.39586718 6.62526718 6.64876718 7.13186718 7.18786718 7.33786718 7.39366718 7.79916718
14.5  1.20420209 5.06340209 5.40360209 6.62250209 6.64820209 7.13430209 7.19020209 7.37180209 7.43440209 7.79870209
15.0  1.22259853 5.07859853 5.41829853 6.62659853 6.65399853 7.14519853 7.20199853 7.41479853 7.48489853 7.80389853
15.5  1.24531807 5.09711807 5.43601807 6.63411807 6.66271807 7.16181807 7.22071807 7.46151807 7.53781807 7.81151807
16.0  1.26847602 5.11527602 5.45307602 6.64197602 6.67087602 7.18117602 7.24257602 7.50657602 7.58747602 7.81837602
16.5  1.28846109 5.12956109 5.46596109 6.64686109 6.67546109 7.19986109 7.26326109 7.54556109 7.62906109 7.82156109
17.0  1.30216062 5.13706062 5.47196062 6.64606062 6.67376062 7.21446062 7.27916062 7.57426062 7.65916062 7.81886062
