0.00000 0.00000 0.00000 1.00000 0.00000 1.00000
0.25000 0.00001 0.00942 0.98080 0.00978 1.00000
0.50000 0.00002 0.01790 0.96404 0.01804 1.00000
0.75000 0.00005 0.04233 0.93659 0.02104 1.00000
1.00000 0.00009 0.06482 0.91094 0.02415 1.00001
1.25000 0.00015 0.08389 0.88041 0.03570 1.00016
1.50000 0.00022 0.10450 0.85645 0.03900 1.00018
1.75000 0.00031 0.13615 0.82156 0.04222 1.00024
2.00000 0.00041 0.15918 0.79419 0.04684 1.00061
2.25000 0.00053 0.17988 0.77000 0.05028 1.00069
2.50000 0.00067 0.21337 0.73101 0.05584 1.00089
2.75000 0.00084 0.25177 0.69317 0.05534 1.00111
3.00000 0.00102 0.29682 0.64949 0.05418 1.00150
3.25000 0.00121 0.34310 0.60017 0.05749 1.00196
3.50000 0.00143 0.37608 0.56672 0.05809 1.00231
3.75000 0.00165 0.41881 0.52175 0.06074 1.00296
4.00000 0.00190 0.44242 0.49508 0.06377 1.00316
4.25000 0.00216 0.48151 0.45493 0.06494 1.00353
4.50000 0.00241 0.51296 0.42554 0.06296 1.00388
4.75000 0.00268 0.54646 0.39193 0.06285 1.00392
5.00000 0.00295 0.56760 0.37086 0.06287 1.00428
5.25000 0.00322 0.59012 0.34521 0.06585 1.00439
5.50000 0.00348 0.60807 0.32421 0.06871 1.00447
5.75000 0.00376 0.62462 0.30657 0.06961 1.00456
6.00000 0.00402 0.63530 0.29475 0.07052 1.00458
6.25000 0.00428 0.64591 0.28525 0.06910 1.00454
6.50000 0.00453 0.66122 0.27137 0.06737 1.00448
6.75000 0.00477 0.66979 0.26164 0.06830 1.00451
7.00000 0.00500 0.67970 0.25108 0.06863 1.00442
7.25000 0.00523 0.68659 0.24785 0.06483 1.00449
7.50000 0.00543 0.69879 0.23498 0.06531 1.00452
7.75000 0.00565 0.70504 0.23113 0.06271 1.00452
8.00000 0.00584 0.71230 0.22301 0.06339 1.00454
8.25000 0.00604 0.72327 0.21154 0.06371 1.00455
8.50000 0.00622 0.73446 0.19955 0.06437 1.00460
8.75000 0.00640 0.74588 0.18773 0.06461 1.00462
9.00000 0.00656 0.75199 0.18144 0.06472 1.00471
9.25000 0.00673 0.75437 0.17868 0.06493 1.00472
9.50000 0.00689 0.75793 0.17443 0.06536 1.00461
9.75000 0.00705 0.75755 0.17422 0.06574 1.00455
10.00000 0.00722 0.75944 0.17159 0.06632 1.00457
10.25000 0.00738 0.75714 0.17330 0.06677 1.00459
10.50000 0.00755 0.75536 0.17426 0.06743 1.00461
10.75000 0.00773 0.75106 0.17653 0.06935 1.00465
11.00000 0.00791 0.75925 0.16796 0.06953 1.00465
11.25000 0.00811 0.76017 0.16591 0.07049 1.00468
11.50000 0.00831 0.75386 0.17141 0.07113 1.00471
11.75000 0.00849 0.75065 0.17354 0.07206 1.00474
12.00000 0.00868 0.74745 0.17641 0.07219 1.00473
12.25000 0.00888 0.73947 0.18391 0.07249 1.00475
12.50000 0.00907 0.73912 0.18388 0.07280 1.00486
12.75000 0.00925 0.72133 0.20155 0.07275 1.00488
13.00000 0.00945 0.71046 0.21143 0.07356 1.00490
13.25000 0.00964 0.69876 0.22224 0.07430 1.00494
13.50000 0.00984 0.68967 0.23067 0.07478 1.00496
13.75000 0.01002 0.67431 0.24227 0.07834 1.00494
14.00000 0.01019 0.66404 0.24896 0.08175 1.00495
14.25000 0.01036 0.65165 0.26054 0.08245 1.00500
14.50000 0.01053 0.64499 0.26568 0.08382 1.00503
14.75000 0.01069 0.63034 0.27912 0.08489 1.00504
15.00000 0.01086 0.61348 0.29429 0.08643 1.00506
15.25000 0.01102 0.59754 0.31092 0.08557 1.00505
15.50000 0.01119 0.58163 0.32559 0.08661 1.00502
15.75000 0.01137 0.56063 0.34561 0.08741 1.00503
16.00000 0.01153 0.54614 0.35831 0.08922 1.00519
16.25000 0.01168 0.53542 0.36722 0.09087 1.00518
16.50000 0.01183 0.51949 0.38038 0.09347 1.00517
16.75000 0.01198 0.50478 0.39342 0.09505 1.00524
17.00000 0.01212 0.48743 0.41130 0.09468 1.00553
17.25000 0.01226 0.47108 0.42268 0.09976 1.00578
17.50000 0.01240 0.46206 0.42170 0.11044 1.00659
17.75000 0.01254 0.45182 0.42730 0.11497 1.00664
18.00000 0.01267 0.43880 0.43887 0.11640 1.00674
18.25000 0.01281 0.42635 0.44855 0.11916 1.00687
18.50000 0.01292 0.41976 0.45277 0.12141 1.00686
18.75000 0.01303 0.40712 0.46255 0.12410 1.00680
19.00000 0.01314 0.40224 0.45997 0.13182 1.00717
19.25000 0.01326 0.39100 0.47001 0.13285 1.00712
19.50000 0.01337 0.38750 0.47079 0.13542 1.00709
19.75000 0.01349 0.38909 0.46655 0.13797 1.00711
20.00000 0.01362 0.39255 0.45852 0.14231 1.00700
20.25000 0.01376 0.39277 0.45501 0.14569 1.00723
20.50000 0.01391 0.39196 0.45387 0.14738 1.00712
20.75000 0.01406 0.39389 0.45433 0.14467 1.00694
21.00000 0.01423 0.39827 0.44960 0.14491 1.00702
21.25000 0.01442 0.39876 0.44997 0.14388 1.00703
21.50000 0.01461 0.40359 0.44888 0.14007 1.00715
21.75000 0.01479 0.40369 0.44818 0.14067 1.00733
22.00000 0.01498 0.41313 0.43818 0.14113 1.00742
22.25000 0.01516 0.41301 0.43752 0.14165 1.00733
22.50000 0.01537 0.41671 0.43321 0.14195 1.00725
22.75000 0.01555 0.43027 0.41808 0.14321 1.00710
23.00000 0.01572 0.43937 0.40608 0.14600 1.00717
23.25000 0.01590 0.44590 0.39829 0.14761 1.00769
23.50000 0.01607 0.45751 0.38704 0.14723 1.00785
23.75000 0.01625 0.46316 0.38521 0.14315 1.00776
