#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -0.18530483E+02
4    48    0.23873634E-06 
4    49    0.81088929E-06 
4    50    -0.42560101E-06 
4    51    -0.10344757E-07 
4    52    -0.47088379E-07 
4    53    0.34806085E-06 
4    54    0.60764985E-06 
4    55    0.45461863E-07 
4    56    -0.43490106E-08 
MO:5   -0.98100929E+01
5    1    -0.51430345E-03 
5    2    -0.35146782E-03 
5    3    -0.19894215E-03 
5    4    0.63362586E-04 
5    5    0.43870330E-05 
5    6    0.41503272E-04 
5    7    0.34162179E-03 
5    8    0.12533920E-03 
5    9    -0.21786047E-03 
5    10    -0.10123963E-05 
5    11    -0.49040857E-02 
5    12    -0.98088488E-02 
5    13    -0.36768043E-02 
5    14    0.54843609E-02 
5    15    0.55230408E-04 
5    16    0.99030215E+00 
5    17    0.45011025E-01 
5    18    0.13138504E-02 
5    19    0.15153688E-02 
5    20    -0.32843904E-03 
5    21    -0.82682130E-02 
5    22    -0.78746415E-02 
5    23    -0.37708122E-02 
5    24    -0.45700339E-02 
5    25    0.50543893E-04 
5    26    0.35657628E-03 
5    27    0.35783286E-03 
5    28    0.74631622E-04 
5    29    0.50008818E-03 
5    30    -0.53682321E-05 
5    31    -0.42216118E-04 
5    32    0.28241539E-03 
5    33    0.11262988E-03 
5    34    0.11454274E-04 
5    35    0.64579497E-03 
5    36    -0.95689079E-02 
5    37    0.57497338E-02 
5    38    -0.13823631E-03 
5    39    -0.14367073E-03 
5    40    -0.54327482E-03 
5    41    -0.65341175E-03 
5    42    0.28871764E-05 
5    43    -0.14177414E-04 
5    44    -0.13684673E-04 
5    45    0.54195392E-07 
5    46    -0.41297018E-06 
5    47    -0.98455334E-08 
5    48    -0.25075183E-08 
5    49    0.65678382E-06 
5    50    -0.25906140E-06 
5    51    0.47556086E-07 
5    52    -0.16590098E-06 
5    53    0.66775234E-06 
5    54    0.13322915E-05 
5    55    0.90450010E-06 
5    56    0.36168759E-07 
MO:6   -0.97587983E+01
6    1    -0.33580992E-01 
6    2    -0.13620495E-01 
6    3    -0.30426827E-02 
6    4    0.66449982E-02 
6    5    -0.12456182E-04 
6    6    0.33900392E-02 
6    7    0.10378127E-02 
6    8    0.14626490E-03 
6    9    -0.59825659E-03 
6    10    0.94042503E-06 
6    11    -0.35580975E-03 
6    12    -0.18682088E-03 
6    13    0.91808043E-04 
6    14    0.43053094E-04 
6    15    0.11889247E-05 
6    16    -0.51060256E-03 
6    17    0.50221247E-03 
6    18    -0.33028243E-03 
6    19    -0.16454800E-03 
6    20    -0.31947942E-07 
6    21    -0.78181822E-02 
6    22    -0.13308445E-01 
6    23    0.75831080E-02 
6    24    -0.18324652E-03 
6    25    0.34000794E-04 
6    26    0.98927235E+00 
6    27    0.50708682E-01 
6    28    0.32795644E-02 
6    29    0.36078689E-02 
6    30    0.28080830E-04 
6    31    -0.31242482E-04 
6    32    0.33785633E-06 
6    33    0.40390747E-03 
6    34    -0.91263328E-02 
6    35    0.61610716E-05 
6    36    -0.15114956E-04 
6    37    0.24563964E-04 
6    38    0.43938876E-04 
6    39    0.24511973E-05 
6    40    -0.80643611E-05 
6    41    -0.27924951E-04 
6    42    -0.31098538E-04 
6    43    0.46588659E-03 
6    44    0.29773677E-03 
6    45    0.19872658E-03 
6    46    0.46037812E-07 
6    47    0.22467388E-05 
6    48    0.54974831E-04 
6    49    -0.67893482E-04 
6    50    0.13447948E-05 
6    51    -0.27639611E-06 
6    52    0.14247973E-04 
6    53    -0.12079019E-03 
6    54    -0.78416947E-04 
6    55    0.49550886E-04 
6    56    0.42182310E-07 
MO:7   -0.97517055E+01
7    1    0.98828180E+00 
7    2    0.46232328E-01 
7    3    0.33645953E-02 
7    4    0.39288508E-03 
7    5    0.22184712E-04 
7    6    -0.40807745E-01 
7    7    -0.13127754E-01 
7    8    0.22750179E-02 
7    9    0.66252924E-02 
7    10    0.60975209E-05 
7    11    -0.15520219E-02 
7    12    0.54886601E-03 
7    13    -0.26476669E-03 
7    14    0.53351310E-03 
7    15    -0.13877148E-05 
7    16    0.23699518E-03 
7    17    0.39170260E-03 
7    18    0.22606365E-03 
7    19    -0.17930492E-03 
7    20    -0.19010441E-05 
7    21    -0.32172389E-01 
7    22    -0.17514769E-02 
7    23    0.39565101E-03 
7    24    -0.75946283E-03 
7    25    0.16233638E-05 
7    26    0.34681626E-01 
7    27    -0.91840242E-02 
7    28    0.25546949E-02 
7    29    -0.63826776E-02 
7    30    0.80294960E-05 
7    31    0.48849405E-03 
7    32    -0.27112534E-03 
7    33    0.12651386E-04 
7    34    -0.19944117E-03 
7    35    0.17127205E-04 
7    36    -0.17681561E-03 
7    37    0.11218255E-03 
7    38    0.22447177E-04 
7    39    -0.11045746E-04 
7    40    0.64960141E-05 
7    41    0.99752613E-05 
7    42    0.85604008E-03 
7    43    -0.52621992E-02 
7    44    -0.43512436E-02 
7    45    0.49296877E-04 
7    46    -0.60915560E-05 
7    47    -0.73072227E-05 
7    48    0.14868400E-03 
7    49    0.21427969E-03 
7    50    0.40131391E-04 
7    51    0.28974175E-06 
7    52    -0.61715267E-05 
7    53    0.13132749E-03 
7    54    0.21264869E-03 
7    55    -0.35359833E-04 
7    56    0.34295170E-06 
MO:8   -0.97478007E+01
8    1    0.31396222E-01 
8    2    0.15190580E-02 
8    3    -0.55439850E-03 
8    4    -0.77260393E-04 
8    5    -0.32250029E-05 
8    6    -0.18340624E-01 
8    7    -0.10571867E-02 
8    8    -0.82604005E-04 
8    9    0.32031081E-03 
8    10    -0.86798298E-06 
8    11    -0.16548658E-02 
8    12    0.28073645E-03 
8    13    -0.11954564E-04 
8    14    0.73617051E-04 
8    15    -0.42226539E-05 
8    16    0.98638571E-02 
8    17    -0.72500922E-02 
8    18    0.39055527E-02 
8    19    0.45723114E-02 
8    20    -0.73813901E-05 
8    21    0.98958646E+00 
8    22    0.45448974E-01 
8    23    -0.30145789E-02 
8    24    0.40706244E-03 
8    25    -0.41811849E-04 
8    26    0.10138511E-01 
8    27    -0.12010908E-01 
8    28    -0.70082910E-02 
8    29    -0.57522275E-04 
8    30    -0.28133902E-04 
8    31    0.89606298E-04 
8    32    -0.13054048E-03 
8    33    -0.87711839E-02 
8    34    0.16968693E-03 
8    35    -0.28236149E-04 
8    36    0.11879948E-03 
8    37    -0.23897596E-04 
8    38    -0.43294673E-03 
8    39    -0.12436653E-05 
8    40    -0.17506319E-04 
8    41    -0.74649034E-04 
8    42    0.54586130E-04 
8    43    -0.34541585E-03 
8    44    -0.28100838E-03 
8    45    0.39254536E-04 
8    46    0.11621338E-06 
8    47    0.37955994E-05 
8    48    -0.93942955E-05 
8    49    -0.91881244E-05 
8    50    0.16541753E-04 
8    51    -0.20624882E-07 
8    52    0.37418272E-06 
8    53    -0.20181434E-05 
8    54    0.11314260E-04 
8    55    0.36384307E-05 
8    56    -0.30064348E-07 
MO:9   -0.97460466E+01
9    1    0.42703550E-01 
9    2    -0.97843330E-02 
9    3    -0.26014684E-02 
9    4    -0.66565627E-02 
9    5    -0.96576243E-05 
9    6    0.98887849E+00 
9    7    0.45923076E-01 
9    8    0.20025931E-03 
9    9    -0.29087694E-02 
9    10    0.94835107E-05 
9    11    -0.25352234E-01 
9    12    -0.97440892E-02 
9    13    0.63291706E-02 
9    14    0.13272667E-03 
9    15    0.25041328E-04 
9    16    -0.22989143E-04 
9    17    0.45229587E-03 
9    18    -0.27656658E-03 
9    19    0.24959292E-03 
9    20    -0.10224402E-05 
9    21    0.17047133E-01 
9    22    0.57953159E-03 
9    23    0.47487170E-04 
9    24    -0.15147793E-03 
9    25    0.58410728E-06 
9    26    -0.18564714E-02 
9    27    -0.30434652E-03 
9    28    0.23168664E-03 
9    29    0.16706636E-04 
9    30    0.83285316E-06 
9    31    -0.91742512E-02 
9    32    0.42574554E-03 
9    33    -0.18866911E-03 
9    34    0.21274490E-04 
9    35    0.80741855E-05 
9    36    -0.29479962E-04 
9    37    0.40080861E-04 
9    38    -0.65693974E-04 
9    39    0.29127834E-05 
9    40    -0.47388929E-04 
9    41    -0.12629882E-04 
9    42    0.37646657E-04 
9    43    0.54433705E-04 
9    44    -0.47122381E-04 
9    45    -0.24217838E-03 
9    46    -0.39634929E-06 
9    47    0.14721289E-04 
9    48    -0.12094739E-03 
9    49    -0.65700932E-04 
9    50    -0.53093825E-04 
9    51    0.83965986E-07 
9    52    0.44241022E-05 
9    53    0.60419954E-04 
9    54    -0.67573020E-04 
9    55    -0.17223504E-04 
9    56    -0.23314257E-06 
MO:10   -0.97249284E+01
10    1    0.28236979E-02 
10    2    0.11371347E-04 
10    3    -0.16935764E-03 
10    4    -0.25057322E-05 
10    5    -0.14377697E-05 
10    6    0.26850408E-01 
10    7    -0.72851888E-02 
10    8    -0.62450172E-02 
10    9    0.10503074E-03 
10    10    -0.22078087E-04 
10    11    0.98998681E+00 
10    12    0.44766945E-01 
10    13    0.26142732E-03 
10    14    -0.43089879E-03 
10    15    -0.29291360E-04 
10    16    0.64937511E-02 
10    17    -0.93251340E-02 
10    18    0.30927318E-02 
10    19    -0.57238113E-02 
10    20    -0.56001906E-05 
10    21    0.20853697E-02 
10    22    0.19246718E-03 
10    23    0.18334950E-03 
10    24    -0.13815814E-03 
10    25    -0.33979101E-05 
10    26    0.40479069E-03 
10    27    0.69884935E-04 
10    28    -0.49472864E-04 
10    29    -0.70795550E-04 
10    30    -0.74318248E-07 
10    31    -0.72147990E-04 
10    32    -0.10123656E-01 
10    33    -0.17802741E-03 
10    34    -0.55895125E-04 
10    35    -0.34606953E-04 
10    36    0.61260887E-03 
10    37    -0.14197275E-03 
10    38    0.22240409E-03 
10    39    0.57459114E-04 
10    40    -0.37960067E-03 
10    41    -0.96896030E-04 
10    42    0.21931944E-04 
10    43    -0.11283174E-03 
10    44    -0.98808007E-04 
10    45    -0.71653673E-04 
10    46    0.10224679E-06 
10    47    0.17072593E-05 
10    48    -0.17194650E-04 
10    49    -0.23498847E-05 
10    50    -0.12339294E-04 
10    51    -0.17754121E-07 
10    52    0.57316259E-05 
10    53    -0.13854216E-04 
10    54    -0.29369498E-04 
10    55    -0.24684316E-04 
10    56    -0.46067793E-07 
MO:11   -0.10560206E+01
11    1    -0.14203065E-01 
11    2    0.29685232E-01 
11    3    -0.16245568E-01 
11    4    -0.12463441E-03 
11    5    0.40919594E-05 
11    6    -0.36949885E-02 
11    7    0.82956100E-02 
11    8    -0.44499071E-02 
11    9    -0.35557552E-02 
11    10    -0.34408367E-05 
11    11    -0.30497024E-03 
11    12    0.84090104E-03 
11    13    -0.53037565E-03 
11    14    -0.14490477E-04 
11    15    -0.15460564E-05 
11    16    -0.14747447E-03 
11    17    0.37922684E-03 
11    18    -0.16562560E-03 
11    19    -0.15576744E-04 
11    20    0.15577086E-05 
11    21    -0.50520019E-03 
11    22    0.13459950E-02 
11    23    -0.90659724E-03 
11    24    0.62883011E-04 
11    25    -0.32213638E-05 
11    26    -0.38986049E-02 
11    27    0.85379884E-02 
11    28    -0.43805128E-02 
11    29    0.38229730E-02 
11    30    -0.10064332E-05 
11    31    0.24822164E-02 
11    32    0.41287586E-04 
11    33    0.62637625E-04 
11    34    0.25501364E-02 
11    35    -0.28319419E-04 
11    36    0.87844125E-04 
11    37    -0.39933272E-04 
11    38    0.10813418E-05 
11    39    0.75055473E-05 
11    40    0.12683464E-04 
11    41    0.13168608E-04 
11    42    -0.17723724E+00 
11    43    0.52386422E+00 
11    44    -0.13082614E+00 
11    45    0.15614162E-03 
11    46    0.32424912E-04 
11    47    -0.11674953E+00 
11    48    0.36383812E+00 
11    49    0.72650009E-01 
11    50    0.13892264E+00 
11    51    0.47792419E-04 
11    52    -0.11627735E+00 
11    53    0.36224721E+00 
11    54    0.70723081E-01 
11    55    -0.13931933E+00 
11    56    0.73945566E-04 
MO:12   -0.87182478E+00
12    1    0.23896350E-03 
12    2    -0.50363701E-03 
12    3    -0.76394860E-04 
12    4    0.11752692E-01 
12    5    -0.19756404E-05 
12    6    -0.45232773E-02 
12    7    0.10364492E-01 
12    8    -0.59834985E-02 
12    9    -0.11929345E-02 
12    10    -0.16733740E-05 
12    11    -0.42319154E-03 
12    12    0.12126028E-02 
12    13    -0.83602312E-03 
12    14    0.90031999E-04 
12    15    -0.19717861E-05 
12    16    0.13594188E-03 
12    17    -0.32618737E-03 
12    18    -0.18545969E-04 
12    19    0.31101716E-03 
12    20    0.29598107E-06 
12    21    0.96288741E-03 
12    22    -0.25480652E-02 
12    23    0.16171790E-02 
12    24    -0.68352836E-04 
12    25    0.42149058E-05 
12    26    0.51054962E-02 
12    27    -0.11449259E-01 
12    28    0.57780132E-02 
12    29    -0.16317483E-02 
12    30    -0.34154199E-05 
12    31    0.62388656E-02 
12    32    0.10506586E-03 
12    33    -0.21958095E-03 
12    34    -0.64305139E-02 
12    35    0.13784925E-03 
12    36    -0.43213605E-03 
12    37    0.70999540E-04 
12    38    0.23246300E-04 
12    39    -0.44857668E-04 
12    40    -0.59803430E-04 
12    41    -0.84829277E-04 
12    42    -0.31100564E-03 
12    43    0.10068329E-02 
12    44    0.16100325E-02 
12    45    0.36893959E+00 
12    46    -0.35565984E-04 
12    47    0.15347074E+00 
12    48    -0.52256941E+00 
12    49    -0.92595638E-01 
12    50    -0.12967722E+00 
12    51    -0.68516180E-04 
12    52    -0.15380528E+00 
12    53    0.52349268E+00 
12    54    0.91156630E-01 
12    55    -0.13132797E+00 
12    56    0.93431747E-04 
