#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -1.43730831
1    1    0.381442584 
1    2    0.0688409899 
1    3    0.102371092 
1    4    -0.00169548381 
1    5    0.394640954 
1    6    -0.0665999194 
1    7    0.0999581881 
1    8    -0.00414295073 
1    9    0.376552417 
1    10    -0.122871355 
1    11    -0.000307063287 
1    12    0.00259354187 
1    13    0.375222182 
1    14    -0.0598786594 
1    15    -0.103304093 
1    16    0.00450957247 
1    17    0.367225877 
1    18    0.0618423725 
1    19    -0.0995954923 
1    20    -0.0195141276 
1    21    0.373017551 
1    22    0.113887078 
1    23    -0.00347441399 
1    24    0.0120077849 
1    25    0.101218758 
1    26    0.0933816663 
1    27    0.0927435358 
1    28    0.0943870553 
1    29    0.0957014316 
1    30    0.101224383 
MO:2   -1.16231217
2    1    0.492636242 
2    2    0.0700102074 
2    3    -0.00404113484 
2    4    -0.00143031637 
2    5    0.348459948 
2    6    -0.152363943 
2    7    -0.0730639774 
2    8    -0.000158613493 
2    9    -0.143204669 
2    10    0.0100109262 
2    11    -0.192470014 
2    12    0.00284524566 
2    13    -0.483152846 
2    14    0.0629118662 
2    15    -0.00332984084 
2    16    -0.00496516922 
2    17    -0.364369677 
2    18    -0.133329554 
2    19    -0.0509595655 
2    20    0.0182276653 
2    21    0.114689213 
2    22    0.0054360377 
2    23    -0.204632017 
2    24    0.000761580565 
2    25    0.184005859 
2    26    0.118396798 
2    27    -0.0423926484 
2    28    -0.17368772 
2    29    -0.132726678 
2    30    0.0365415151 
MO:3   -1.13973578
3    1    -0.128852007 
3    2    0.162935613 
3    3    -0.0985597451 
3    4    0.0054986095 
3    5    0.340645416 
3    6    0.132237338 
3    7    0.0897407121 
3    8    -0.00191694057 
3    9    0.490734877 
3    10    -0.0254689338 
3    11    -0.0522597913 
3    12    0.00145890347 
3    13    0.128424585 
3    14    0.17613094 
3    15    -0.114105677 
3    16    -0.00294741719 
3    17    -0.362101033 
3    18    0.118884299 
3    19    0.083606352 
3    20    0.0197604474 
3    21    -0.488305495 
3    22    -0.00884371433 
3    23    -0.0603406507 
3    24    -0.0132383315 
3    25    -0.0472315798 
3    26    0.11811852 
3    27    0.177509694 
3    28    0.038371608 
3    29    -0.137469215 
3    30    -0.194280516 
MO:4   -0.855776232
4    1    -0.308381554 
4    2    -0.119904597 
4    3    0.183282845 
4    4    -0.00673609981 
4    5    -0.0229850213 
4    6    0.279469219 
4    7    0.185680526 
4    8    -0.00594039138 
4    9    0.344825437 
4    10    0.0874826749 
4    11    -0.152702734 
4    12    -0.00192872216 
4    13    -0.323856587 
4    14    0.116572831 
4    15    -0.18664641 
4    16    -0.00658896917 
4    17    -0.0492350908 
4    18    -0.277608237 
4    19    -0.182096779 
4    20    -0.00273222739 
4    21    0.368715272 
4    22    -0.109752298 
4    23    0.130763892 
4    24    0.00519056289 
4    25    -0.189112238 
4    26    -0.0176345094 
4    27    0.194309616 
4    28    -0.194778101 
4    29    -0.0290313856 
4    30    0.223870082 
MO:5   -0.834463503
5    1    -0.219312975 
5    2    0.28341889 
5    3    -0.0773356473 
5    4    0.016951227 
5    5    0.391490736 
5    6    0.0885723009 
5    7    -0.0801180296 
5    8    0.0126368064 
5    9    -0.156135452 
5    10    -0.047975021 
5    11    -0.317218054 
5    12    0.0144246791 
5    13    -0.239533249 
5    14    -0.272121587 
5    15    0.0821514909 
5    16    0.0147428165 
5    17    0.383690835 
5    18    -0.0865264169 
5    19    0.0884308318 
5    20    -0.014184715 
5    21    -0.177954298 
5    22    0.0572391706 
5    23    0.29818485 
5    24    0.00944471761 
5    25    -0.131522605 
5    26    0.213276121 
5    27    -0.0742443402 
5    28    -0.124495668 
5    29    0.228105025 
5    30    -0.0959615288 
MO:6   -0.655178372
6    1    0.0753541012 
6    2    -0.168297675 
6    3    -0.321095888 
6    4    -0.00272925832 
6    5    0.006498003 
6    6    0.168235603 
6    7    -0.254742361 
6    8    0.00874640215 
6    9    0.0931735525 
6    10    0.343990062 
6    11    -0.0216329794 
6    12    -0.0173712552 
6    13    0.0149250116 
6    14    0.152074833 
6    15    0.25524183 
6    16    -0.0242627857 
6    17    0.0646189634 
6    18    -0.175552449 
6    19    0.289202033 
6    20    -0.0134128539 
6    21    0.00936768563 
6    22    -0.314877575 
6    23    0.0202608739 
6    24    -0.0213867564 
6    25    0.274115203 
6    26    0.19742112 
6    27    0.266301083 
6    28    0.199834494 
6    29    0.251725363 
6    30    0.213212787 
MO:7   -0.590831305
7    1    -0.217136961 
7    2    0.151212944 
7    3    0.158402819 
7    4    0.00260095921 
7    5    0.248736979 
7    6    0.0662632231 
7    7    -0.180089606 
7    8    0.0261347746 
7    9    -0.224798876 
7    10    -0.148565046 
7    11    -8.4543949e-05 
7    12    0.0122401407 
7    13    0.227722467 
7    14    0.137172494 
7    15    0.246455267 
7    16    -0.0290111153 
7    17    -0.238930725 
7    18    0.0629037976 
7    19    -0.102965286 
7    20    -0.0126324528 
7    21    0.2185735 
7    22    -0.251634916 
7    23    0.0106958311 
7    24    -0.0298885193 
7    25    -0.267987424 
7    26    0.252517098 
7    27    -0.219819319 
7    28    0.316957694 
7    29    -0.208679872 
7    30    0.297791196 
MO:8   -0.564814402
8    1    -0.0113919439 
8    2    0.331626257 
8    3    -0.240910298 
8    4    0.0347024539 
8    5    -0.00959918352 
8    6    -0.321304389 
8    7    -0.218759916 
8    8    0.0145677586 
8    9    0.0174902549 
8    10    -0.0124112346 
8    11    0.420601454 
8    12    -0.0145044929 
8    13    0.00440901357 
8    14    0.319687785 
8    15    -0.264285289 
8    16    -0.0232156481 
8    17    0.0107352579 
8    18    -0.324816889 
8    19    -0.208708433 
8    20    -0.00651154371 
8    21    -0.0177868892 
8    22    -0.01967425 
8    23    0.414364049 
8    24    0.0243064774 
8    25    0.0327693961 
8    26    0.0128320815 
8    27    -0.0254947157 
8    28    -0.0654726517 
8    29    -0.00444135071 
8    30    0.025779347 
MO:9   -0.526786516
9    1    0.0538143473 
9    2    0.255566888 
9    3    0.368935288 
9    4    -0.0623382335 
9    5    0.000626739332 
9    6    -0.271826967 
9    7    0.121804785 
9    8    -0.0887182316 
9    9    0.0141914104 
9    10    0.234956105 
9    11    -0.0184025839 
9    12    -0.092748936 
9    13    -0.0663416647 
9    14    0.240862591 
9    15    0.29767968 
9    16    -0.107390929 
9    17    -0.00677980479 
9    18    -0.242266406 
9    19    0.192843708 
9    20    -0.0687229136 
9    21    0.00529418093 
9    22    0.201082511 
9    23    -0.0914558639 
9    24    -0.046439563 
9    25    -0.31649382 
9    26    -0.194283174 
9    27    0.189941157 
9    28    0.260026251 
9    29    0.226763273 
9    30    -0.153698315 
MO:10   -0.512724393
10    1    -0.00499731947 
10    2    -0.0395068954 
10    3    0.0748487001 
10    4    0.0837636932 
10    5    -0.043442462 
10    6    0.0946114126 
10    7    -0.330496436 
10    8    0.100879847 
10    9    -0.0437393496 
10    10    0.428997427 
10    11    0.018631566 
10    12    0.0534443275 
10    13    0.00714356698 
10    14    -0.0786904526 
10    15    0.12504223 
10    16    0.0725780596 
10    17    0.0409018818 
10    18    0.137678324 
10    19    -0.379527685 
10    20    0.0756801675 
10    21    0.0720333038 
10    22    0.36175727 
10    23    0.0707039838 
10    24    0.111896007 
10    25    -0.0396417145 
10    26    0.247852032 
10    27    0.311624497 
10    28    0.0547936582 
10    29    -0.298816052 
10    30    -0.250741719 
MO:11   -0.489251769
11    1    0.0184982184 
11    2    0.0171723354 
11    3    0.0914260737 
11    4    0.397662447 
11    5    0.00621026854 
11    6    -0.0566153138 
