#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -1.44492985
1    1    0.378144493 
1    2    0.0540385392 
1    3    0.102635912 
1    4    -0.00138362777 
1    5    0.35972411 
1    6    -0.0614294579 
1    7    0.103293492 
1    8    0.00348785194 
1    9    0.370367322 
1    10    -0.116357168 
1    11    0.00123279817 
1    12    0.000211214331 
1    13    0.372490131 
1    14    -0.0617801519 
1    15    -0.103835184 
1    16    0.00659618361 
1    17    0.394766362 
1    18    0.0521186665 
1    19    -0.109069735 
1    20    0.00404609275 
1    21    0.390797534 
1    22    0.123411314 
1    23    0.00971400928 
1    24    -0.00016471879 
1    25    0.100062378 
1    26    0.0899285666 
1    27    0.0958609482 
1    28    0.0967621729 
1    29    0.0999737911 
1    30    0.102112041 
MO:2   -1.16424912
2    1    0.0180881302 
2    2    -0.187035918 
2    3    0.108415519 
2    4    -0.000904959605 
2    5    -0.42263043 
2    6    -0.0761764046 
2    7    -0.0816680165 
2    8    -0.00394383821 
2    9    -0.457283416 
2    10    0.0220589324 
2    11    0.0863025003 
2    12    -0.00331870214 
2    13    -0.067659434 
2    14    -0.169752466 
2    15    0.104045185 
2    16    -0.00383433786 
2    17    0.402427254 
2    18    -0.111461871 
2    19    -0.0841393233 
2    20    0.00352660769 
2    21    0.457386606 
2    22    0.0238196741 
2    23    0.0981564957 
2    24    -0.0028181311 
2    25    0.00398493323 
2    26    -0.149173321 
2    27    -0.169211503 
2    28    -0.0178067679 
2    29    0.142838692 
2    30    0.167471034 
MO:3   -1.14786698
3    1    -0.498627592 
3    2    -0.0266477645 
3    3    0.00154153383 
3    4    -0.00202699378 
3    5    -0.295528794 
3    6    0.151986879 
3    7    0.0687239563 
3    8    -0.00287815992 
3    9    0.214203971 
3    10    -0.0114040623 
3    11    0.19956777 
3    12    0.00168290618 
3    13    0.506729387 
3    14    -0.0242330565 
3    15    -0.0144379279 
3    16    0.0116033781 
3    17    0.274906199 
3    18    0.158163 
3    19    0.0841098808 
3    20    0.00372460855 
3    21    -0.208513483 
3    22    -0.00828808709 
3    23    0.183243667 
3    24    -0.00149246484 
3    25    -0.191166206 
3    26    -0.107963179 
3    27    0.0752022181 
3    28    0.189203003 
3    29    0.104158033 
3    30    -0.0814243315 
MO:4   -0.852626936
4    1    0.376948716 
4    2    0.0292061694 
4    3    -0.149016289 
4    4    0.0102748102 
4    5    -0.0837684884 
4    6    -0.29951289 
4    7    -0.144329056 
4    8    0.00182949667 
4    9    -0.307041799 
4    10    -0.100823606 
4    11    0.22040864 
4    12    -0.00740044716 
4    13    0.363964265 
4    14    -0.0560062933 
4    15    0.150376755 
4    16    0.0111955613 
4    17    -0.0645012813 
4    18    0.296397359 
4    19    0.147169613 
4    20    0.00177284409 
4    21    -0.276609446 
4    22    0.0881165324 
4    23    -0.220980103 
4    24    0.0102583443 
4    25    0.22306688 
4    26    -0.0471001526 
4    27    -0.186768803 
4    28    0.213544533 
4    29    -0.0306499957 
4    30    -0.159614393 
MO:5   -0.844097279
5    1    -0.136452887 
5    2    0.295089507 
5    3    -0.125904279 
5    4    -0.00407693985 
5    5    0.383116107 
5    6    0.00281709804 
5    7    -0.130115835 
5    8    -0.00242289683 
5    9    -0.257725803 
5    10    -0.070761192 
5    11    -0.252582968 
5    12    -0.00892552913 
5    13    -0.121623534 
5    14    -0.293272065 
5    15    0.131192805 
5    16    -0.00918044409 
5    17    0.386898159 
5    18    -0.00226970909 
5    19    0.138380857 
5    20    0.00561871163 
5    21    -0.24907263 
5    22    0.0761909966 
5    23    0.269839454 
5    24    -0.000515367367 
5    25    -0.0735306557 
5    26    0.222537963 
5    27    -0.141255639 
5    28    -0.0558550781 
5    29    0.224503469 
5    30    -0.15287758 
MO:6   -0.658359584
6    1    -0.01150835 
6    2    0.158111374 
6    3    0.269351868 
6    4    -0.0233854705 
