#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -1.44851525
9    17    -0.00792287784 
9    18    0.0440894909 
9    19    -0.383603353 
9    20    0.00938514659 
9    21    0.0650778723 
9    22    0.409721146 
9    23    0.0962003401 
9    24    0.0024279006 
9    25    -0.108422452 
9    26    0.295893524 
9    27    0.233454707 
9    28    0.129102415 
9    29    -0.280197753 
9    30    -0.282648254 
MO:10   -0.509256711
10    1    0.0611626886 
10    2    0.17444431 
10    3    0.372628519 
10    4    -0.0508555175 
10    5    0.0490776171 
10    6    -0.136439557 
10    7    0.257585769 
10    8    -0.0804295441 
10    9    -0.0467152182 
10    10    0.115149438 
10    11    -0.191835539 
10    12    -0.0748055214 
10    13    -0.0429661204 
10    14    0.208159128 
10    15    0.433547503 
10    16    -0.101742602 
10    17    -0.0492105376 
10    18    -0.18299412 
10    19    0.200141006 
10    20    -0.0737300688 
10    21    0.0238540359 
10    22    0.137133671 
10    23    -0.120255626 
10    24    -0.0724292724 
10    25    -0.296135302 
10    26    -0.209873959 
10    27    0.0621304163 
10    28    0.362987771 
10    29    0.180368059 
10    30    -0.0940067519 
MO:11   -0.495392916
11    1    0.0172163518 
11    2    0.0643543282 
11    3    0.0819344477 
11    4    0.414971068 
11    5    -0.00562515059 
11    6    -0.0839793648 
11    7    0.0450193512 
11    8    0.401263498 
11    9    -0.00471763896 
11    10    0.00458625162 
11    11    0.00179274013 
11    12    0.387687667 
11    13    -0.00613341606 
11    14    0.0216898861 
11    15    0.0561598882 
11    16    0.380336746 
11    17    -0.0155130811 
11    18    -0.0072217345 
11    19    0.0920256137 
11    20    0.39623166 
11    21    0.00212668203 
11    22    0.000197709768 
11    23    -0.0643933206 
11    24    0.401731409 
11    25    -0.0953858146 
11    26    -0.0377273783 
11    27    0.0229272321 
11    28    0.020630261 
11    29    0.0692005621 
11    30    0.0172121852 
MO:12   -0.446690923
12    1    -0.00795913372 
12    2    0.361360253 
12    3    -0.0147324016 
12    4    -0.0328551934 
12    5    -0.0190639759 
12    6    -0.351222645 
12    7    0.0203313147 
12    8    -0.0533884602 
12    9    0.00220941084 
12    10    0.347559951 
12    11    -0.0168468904 
12    12    0.00269225394 
12    13    0.000266315347 
12    14    -0.322865484 
12    15    0.0562889595 
12    16    -0.0151847225 
12    17    -0.0109065096 
12    18    0.325142921 
12    19    -0.0655579497 
12    20    -0.0327654165 
12    21    0.0355865898 
12    22    -0.297029558 
12    23    0.0420084833 
12    24    -0.00951603192 
12    25    -0.154983694 
12    26    -0.18189875 
12    27    0.325727281 
12    28    -0.113688774 
12    29    -0.21039492 
12    30    0.298975446 
MO:13   -0.423124141
13    1    0.00106035472 
13    2    0.0410540377 
13    3    0.356418019 
13    4    -0.0226506955 
13    5    0.0239899657 
13    6    -0.0731531261 
13    7    -0.315533255 
13    8    -0.0253870559 
13    9    0.00656117935 
13    10    0.0475648424 
13    11    0.339884174 
13    12    -0.0342901234 
13    13    -0.0202916179 
13    14    -0.00138345517 
13    15    -0.296018121 
13    16    -0.028465469 
13    17    0.00602153711 
13    18    0.0272383875 
13    19    0.334055927 
13    20    -0.065607833 
13    21    0.00364296547 
13    22    -0.00954534206 
13    23    -0.345502628 
13    24    -0.0677304222 
13    25    -0.323303297 
13    26    0.258074642 
13    27    0.0414902489 
13    28    -0.257965537 
13    29    0.275429567 
13    30    0.0280053041 
MO:14   -0.359643476
14    1    -0.00191527601 
14    2    -0.0059144448 
14    3    0.0231034881 
14    4    -0.188189176 
14    5    0.0193034163 
14    6    0.0327735974 
14    7    -0.0304982708 
14    8    -0.558781044 
14    9    -0.00526668724 
14    10    0.0321093966 
14    11    0.00883434498 
14    12    -0.377680743 
14    13    0.0027927879 
14    14    0.00208026199 
14    15    0.00280670943 
14    16    0.174905542 
14    17    -0.00658373655 
14    18    0.0192365663 
14    19    0.00521279801 
14    20    0.562150186 
14    21    0.00885815497 
14    22    0.0297835079 
14    23    -0.0199301465 
14    24    0.396057765 
14    25    -0.00951089358 
14    26    0.00674998146 
14    27    0.00150024214 
14    28    -0.00813514932 
14    29    0.00859263708 
14    30    -0.00718481078 
MO:15   -0.351844077
15    1    -0.00610160102 
15    2    0.000864660363 
15    3    0.0349239804 
15    4    -0.534340865 
15    5    0.0157269747 
15    6    0.0097821021 
15    7    0.00139902368 
15    8    -0.117984044 
15    9    -0.0107550232 
15    10    -0.0300718521 
15    11    -0.00408736794 
15    12    0.44076253 
15    13    0.0133061402 
15    14    0.0149693158 
15    15    0.0384256112 
15    16    0.562108025 
15    17    -0.0129837893 
15    18    -0.00462238056 
15    19    0.00129341021 
15    20    0.116619333 
15    21    0.00571694259 
15    22    -0.0142196226 
15    23    0.00410654511 
15    24    -0.414146336 
15    25    -0.00614807414 
15    26    0.00460754505 
15    27    -0.00910666765 
15    28    0.00953976975 
15    29    -0.00315210553 
15    30    0.00142913529 
MO:16   0.01745601
16    1    -0.00704098798 
16    2    -0.000246415206 
16    3    0.022214525 
16    4    -0.403267844 
16    5    -0.000639544139 
16    6    0.00536687471 
16    7    -0.00980818553 
16    8    -0.133153361 
16    9    -0.00500267418 
16    10    -0.0381229996 
16    11    0.00333067227 
16    12    0.564774545 
16    13    -0.00896275474 
16    14    -0.00379005071 
16    15    -0.0295302819 
16    16    -0.425225296 
16    17    -0.00375761718 
16    18    -0.00382096565 
16    19    0.00288329667 
16    20    -0.139719106 
16    21    0.000604581447 
16    22    0.0241797345 
16    23    -0.0115240178 
16    24    0.543782443 
16    25    0.00958435635 
16    26    0.00798345271 
16    27    0.011639517 
16    28    0.0163980806 
16    29    0.0133721719 
16    30    0.00438379631 
MO:17   0.0239964884
17    1    0.00568450262 
17    2    0.0102791595 
17    3    0.0271350118 
17    4    -0.403887416 
17    5    -0.0304104997 
17    6    -0.0341195729 
17    7    0.0220153598 
17    8    0.5499361 
17    9    0.00255878713 
17    10    0.00678121208 
17    11    -0.00660856952 
17    12    -0.149625666 
17    13    -0.00820320703 
17    14    -0.0148931114 
17    15    -0.0214561048 
17    16    -0.396801062 
17    17    -0.0111371765 
17    18    0.0193534251 
17    19    -0.00141520649 
17    20    0.562494936 
17    21    -0.00820642552 
17    22    -0.0132121689 
17    23    0.0124317463 
17    24    -0.176974025 
17    25    0.00584984714 
17    26    0.0354524808 
17    27    0.00731386063 
17    28    0.011510004 
17    29    0.0112758005 
17    30    0.00954584267 
MO:18   0.109035565
18    1    0.0178410695 
18    2    0.0284528215 
18    3    0.0632486177 
18    4    -0.405928672 
18    5    -0.046695862 
18    6    -0.00942083367 
18    7    0.0685583795 
18    8    0.406168763 
18    9    0.0209457683 
18    10    0.0328146104 
18    11    0.0291042663 
18    12    -0.391426725 
18    13    -0.00892301418 
18    14    0.0195225707 
18    15    0.0641334142 
18    16    0.386938177 
18    17    0.0162088945 
18    18    0.00337645473 
18    19    0.0390711896 
18    20    -0.402343729 
18    21    -0.017239396 
18    22    0.0226077525 
18    23    0.038683247 
18    24    0.409334713 
18    25    0.0431241124 
18    26    0.0859363607 
18    27    -0.0320015119 
18    28    -0.0399177448 
18    29    -0.0437852601 
18    30    0.0309586088 
MO:19   0.138898885
19    1    0.128202831 
19    2    0.00845151626 
19    3    0.272562976 
19    4    0.0854484876 
19    5    -0.224457526 
19    6    -0.0547175729 
19    7    0.307824413 
19    8    -0.104242559 
19    9    0.130084368 
19    10    -0.0649259331 
19    11    0.20171141 
19    12    0.0622672071 
19    13    -0.116621206 
19    14    -0.0458170296 
19    15    0.237938279 
19    16    -0.0640198891 
19    17    0.114786584 
19    18    -0.0470280144 
19    19    0.274316348 
19    20    0.0569344901 
19    21    -0.121011158 
19    22    -0.0491571309 
19    23    0.259326042 
19    24    -0.0507225372 
19    25    0.146060257 
19    26    0.496172397 
19    27    -0.0544044058 
19    28    -0.0842645451 
19    29    -0.368774222 
19    30    0.0803194059 
MO:20   0.147236041
20    1    0.0714126708 
20    2    0.164983035 
20    3    0.0789446767 
20    4    0.0271515003 
20    5    -0.181981656 
20    6    0.103279273 
20    7    0.0598671223 
20    8    -0.0259422961 
20    9    0.00516574537 
20    10    0.0788685346 
20    11    -0.0712074914 
20    12    0.0121829073 
20    13    -0.212479995 
20    14    0.115923593 
20    15    -0.206460105 
20    16    0.0191570333 
20    17    0.0907017216 
20    18    0.191818178 
20    19    -0.276569834 
20    20    -0.00236153429 
20    21    -0.343015579 
20    22    0.251596331 
20    23    -0.0751757167 
20    24    -0.0251668561 
20    25    0.0874029206 
20    26    0.156091805 
20    27    -0.0930701767 
20    28    0.301118875 
20    29    0.248953058 
20    30    0.545478591 
MO:21   0.15218157
21    1    -0.113654346 
21    2    0.0801104942 
21    3    0.205606672 
21    4    0.030153375 
21    5    -0.0886980794 
21    6    -0.0760598917 
21    7    0.204607761 
21    8    -0.0273952709 
21    9    -0.269286342 
21    10    -0.122736772 
21    11    -0.0955663572 
21    12    -0.014018561 
21    13    0.243584696 
21    14    -0.16529837 
21    15    -0.0807653011 
21    16    0.0144882141 
21    17    -0.404345037 
21    18    -0.0404707517 
21    19    -0.133113278 
21    20    -0.0160407082 
21    21    0.0819388547 
21    22    -0.0302579405 
21    23    0.158509961 
21    24    -0.00271709447 
21    25    0.308789156 
21    26    0.264476888 
21    27    0.362678955 
21    28    -0.0505160852 
21    29    0.4086071 
21    30    -0.0932604048 
MO:22   0.152876613
22    1    0.113652763 
22    2    -0.209100568 
22    3    -0.198055076 
22    4    -0.02568122 
22    5    -0.221317026 
22    6    -0.296822059 
22    7    -0.024646187 
22    8    -0.0119919553 
22    9    0.0924855975 
22    10    -0.275560422 
22    11    -0.189895053 
22    12    -0.0399208601 
22    13    -0.139532153 
22    14    -0.234635623 
22    15    -0.175666274 
22    16    0.0497686407 
22    17    0.0705080302 
22    18    -0.171829603 
22    19    -0.119349455 
22    20    -0.0212814624 
22    21    -0.0616077957 
22    22    -0.208971011 
22    23    -0.113614146 
22    24    0.029246413 
22    25    -0.362153525 
22    26    0.27791117 
22    27    0.189058602 
22    28    0.395181572 
22    29    -0.0392829532 
22    30    -0.152881573 
MO:23   0.169082965
23    1    0.487133849 
23    2    -0.00751786997 
23    3    -0.0481940033 
23    4    -0.00482792567 
23    5    -0.204416367 
23    6    0.254505737 
23    7    -0.0603003506 
23    8    -0.00234580774 
23    9    -0.0460371229 
23    10    0.117692623 
23    11    -0.260795046 
23    12    0.0162426869 
23    13    0.372656258 
23    14    0.0149975269 
23    15    -0.00817828419 
23    16    -0.0148643596 
23    17    -0.152427981 
23    18    -0.185779189 
23    19    -0.0172028519 
23    20    0.00246589927 
23    21    -0.178862547 
23    22    -0.0243438147 
23    23    0.266781327 
23    24    0.00755234326 
23    25    -0.396901771 
23    26    0.00610108733 
23    27    -0.0798797524 
23    28    -0.286475103 
23    29    0.0391712752 
23    30    0.130566543 
MO:24   0.172358495
24    1    0.0316722057 
24    2    -0.180145565 
24    3    0.218420621 
24    4    -0.00201700681 
24    5    0.252527555 
24    6    0.114880041 
24    7    0.0233838841 
24    8    0.0288353048 
24    9    -0.408786897 
24    10    -0.120588491 
24    11    0.0480900773 
24    12    -0.023645232 
24    13    0.0842886576 
24    14    0.0717583327 
24    15    -0.224482725 
24    16    0.0155087415 
24    17    0.229764585 
24    18    -0.257747185 
24    19    0.0694704612 
24    20    0.00591912831 
24    21    -0.301886166 
24    22    -0.0458215933 
24    23    -0.0220983866 
24    24    0.010190155 
24    25    0.0659621587 
24    26    -0.205901451 
24    27    0.432272932 
24    28    0.0669816193 
24    29    -0.319221137 
24    30    0.187540506 
MO:25   0.186271214
25    1    -0.110122381 
25    2    -0.22671479 
25    3    -0.321061753 
25    4    -0.0144059821 
25    5    0.105986454 
25    6    -0.183957235 
25    7    0.233354405 
25    8    -0.0104717209 
25    9    -0.0770990677 
25    10    -0.184970621 
25    11    0.149391235 
25    12    -0.004810322 
25    13    0.0383308384 
25    14    0.207839154 
25    15    0.388306827 
25    16    -0.0286218429 
25    17    0.0753404386 
25    18    0.0534253552 
25    19    -0.216199534 
25    20    0.0056267762 
25    21    -0.0782927738 
25    22    0.212207656 
25    23    -0.186378505 
25    24    -0.00992079343 
25    25    -0.237336295 
25    26    0.152421823 
25    27    0.217155758 
25    28    -0.382947956 
25    29    0.117994843 
25    30    0.21491829 
MO:26   0.190473861
26    1    -0.0852681867 
26    2    0.0950316315 
26    3    -0.0416798715 
26    4    -0.00269240494 
26    5    -0.152966398 
26    6    -0.0691638441 
26    7    -0.403575232 
26    8    0.00747994757 
26    9    0.183294317 
26    10    -0.415152989 
26    11    -0.156189286 
26    12    -0.0307646739 
26    13    -0.0131065439 
26    14    -0.148213485 
26    15    0.120146014 
26    16    0.00305309019 
26    17    -0.177178275 
26    18    -0.0530305207 
26    19    0.31183748 
26    20    -0.00181810707 
26    21    0.0925043947 
26    22    0.452156295 
26    23    0.115476295 
26    24    -0.0175371958 
26    25    0.0624972631 
26    26    -0.146453967 
