0.0  0.00000000 0.00000000 1.00000000  1.00000000
0.5  0.00000214 0.00000000 0.99999786  1.00000000
1.0  0.00000768 0.00000002 0.99999231  1.00000000
1.5  0.00001502 0.00000033 0.99998465  1.00000000
2.0  0.00002036 0.00000170 0.99997794  1.00000000
2.5  0.00002821 0.00000563 0.99996616  1.00000000
3.0  0.00003872 0.00001452 0.99994676  1.00000000
3.5  0.00004865 0.00003163 0.99991972  1.00000000
4.0  0.00005816 0.00006149 0.99988035  1.00000000
4.5  0.00006240 0.00010865 0.99982896  1.00000000
5.0  0.00006335 0.00017790 0.99975875  1.00000000
5.5  0.00006213 0.00027627 0.99966160  1.00000000
6.0  0.00005899 0.00040951 0.99953149  1.00000000
6.5  0.00005551 0.00058484 0.99935965  1.00000000
7.0  0.00005762 0.00080893 0.99913344  1.00000000
7.5  0.00006265 0.00109510 0.99884225  1.00000000
8.0  0.00006369 0.00141864 0.99851767  1.00000000
8.5  0.00006594 0.00189070 0.99804336  1.00000000
9.0  0.00006865 0.00246383 0.99746752  1.00000000
9.5  0.00007126 0.00304462 0.99688412  1.00000000
10.0  0.00007466 0.00377112 0.99615421  1.00000000
10.5  0.00007942 0.00460715 0.99531342  1.00000000
11.0  0.00008482 0.00554843 0.99436675  1.00000000
11.5  0.00009247 0.00665805 0.99324948  1.00000000
12.0  0.00010321 0.00792857 0.99196822  1.00000000
12.5  0.00011710 0.00943134 0.99045156  1.00000000
13.0  0.00012771 0.01123996 0.98863233  1.00000000
13.5  0.00012808 0.01346184 0.98641008  1.00000000
14.0  0.00012192 0.01623552 0.98364256  1.00000000
14.5  0.00011330 0.01970792 0.98017877  1.00000000
15.0  0.00009978 0.02408965 0.97581056  1.00000000
15.5  0.00008177 0.02958928 0.97032895  1.00000000
16.0  0.00006804 0.03665461 0.96327734  1.00000000
16.5  0.00005916 0.04510826 0.95483258  1.00000000
17.0  0.00004997 0.05592773 0.94402230  1.00000000
17.5  0.00004022 0.06920510 0.93075468  1.00000000
18.0  0.00003061 0.08525193 0.91471745  1.00000000
18.5  0.00002290 0.10393708 0.89604002  1.00000000
19.0  0.00001658 0.12417065 0.87581277  1.00000000
19.5  0.00001123 0.14320103 0.85678774  1.00000000
20.0  0.00000666 0.15616782 0.84382552  1.00000000
20.5  0.00000273 0.15661935 0.84337792  1.00000000
21.0  0.00000021 0.17639189 0.82360791  1.00000000
21.5  0.00000011 0.21956205 0.78043785  1.00000000
22.0  0.00000000 0.28243389 0.71756611  1.00000000
22.5  0.00000184 0.35146478 0.64853339  1.00000000
23.0  0.00001222 0.41689493 0.58309285  1.00000000
23.5  0.00003753 0.46665848 0.53330399  1.00000000
24.0  0.00008393 0.49766638 0.50224969  1.00000000
24.5  0.00015317 0.51851777 0.48132906  1.00000000
25.0  0.00024773 0.54236668 0.45738558  1.00000000
25.5  0.00036849 0.55036443 0.44926709  1.00000000
26.0  0.00051555 0.55627529 0.44320916  1.00000000
26.5  0.00066058 0.56047754 0.43886187  1.00000000
27.0  0.00078294 0.56214285 0.43707420  1.00000000
27.5  0.00089754 0.56858234 0.43052011  1.00000000
28.0  0.00099662 0.57682096 0.42218243  1.00000000
28.5  0.00107178 0.59266622 0.40626200  1.00000000
29.0  0.00113752 0.60931784 0.38954464  1.00000000
29.5  0.00118741 0.61125445 0.38755814  1.00000000
30.0  0.00123046 0.61507888 0.38369067  1.00000000
30.5  0.00125735 0.62070240 0.37804025  1.00000000
31.0  0.00123520 0.62780222 0.37096258  1.00000000
31.5  0.00116206 0.63643156 0.36240638  1.00000000
32.0  0.00105309 0.64644777 0.35249914  1.00000000
32.5  0.00092604 0.65763293 0.34144103  1.00000000
