0.0  1.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000  1.00000000
0.5  0.99995440 0.00000059 0.00000000 0.00000020 0.00000491 0.00000821 0.00000018 0.00000018 0.00000296 0.00002837  1.00000000
1.0  0.99988047 0.00000817 0.00000002 0.00000063 0.00000485 0.00001935 0.00000031 0.00000678 0.00000631 0.00007311  1.00000000
1.5  0.99989611 0.00001278 0.00000023 0.00000049 0.00000012 0.00000773 0.00000113 0.00000957 0.00000243 0.00006941  1.00000000
2.0  0.99992827 0.00003095 0.00000005 0.00000166 0.00000099 0.00000411 0.00000127 0.00000835 0.00000200 0.00002235  1.00000000
2.5  0.99990632 0.00003871 0.00000040 0.00000579 0.00000551 0.00001047 0.00000276 0.00002166 0.00000759 0.00000079  1.00000000
3.0  0.99984208 0.00006083 0.00000004 0.00000675 0.00000471 0.00000622 0.00000246 0.00003410 0.00000789 0.00003490  1.00000000
3.5  0.99984314 0.00007160 0.00000044 0.00001223 0.00000119 0.00000466 0.00000199 0.00001897 0.00000178 0.00004399  1.00000000
4.0  0.99985857 0.00009085 0.00000003 0.00000470 0.00000228 0.00000969 0.00000192 0.00001264 0.00000434 0.00001498  1.00000000
4.5  0.99981209 0.00010205 0.00000036 0.00001586 0.00000213 0.00000932 0.00000213 0.00004044 0.00001513 0.00000049  1.00000000
5.0  0.99977321 0.00011447 0.00000047 0.00002742 0.00000374 0.00000427 0.00000243 0.00004560 0.00001506 0.00001332  1.00000000
5.5  0.99982124 0.00012203 0.00000062 0.00000879 0.00000156 0.00000656 0.00000360 0.00000851 0.00000636 0.00002072  1.00000000
6.0  0.99980162 0.00012284 0.00000042 0.00002891 0.00000540 0.00000735 0.00000383 0.00001291 0.00000395 0.00001277  1.00000000
6.5  0.99976157 0.00012824 0.00000077 0.00003255 0.00001000 0.00000185 0.00000389 0.00003970 0.00001490 0.00000654  1.00000000
7.0  0.99981714 0.00011116 0.00000044 0.00000124 0.00000295 0.00000789 0.00000077 0.00002878 0.00001769 0.00001194  1.00000000
7.5  0.99980446 0.00011972 0.00000050 0.00000945 0.00002772 0.00002024 0.00000198 0.00000026 0.00000672 0.00000894  1.00000000
8.0  0.99981001 0.00008961 0.00000013 0.00002633 0.00002758 0.00000679 0.00000825 0.00002892 0.00000038 0.00000200  1.00000000
