0.0  173.5248
1.0  181.1030
2.0  194.6088
3.0  203.4340
4.0  204.1856
5.0  208.6191
6.0  228.4537
7.0  256.5831
8.0  275.4678
9.0  278.8373
10.0  273.8794
11.0  268.3631
12.0  261.3551
13.0  243.6386
14.0  209.9686
15.0  171.7951
16.0  148.8644
17.0  146.0113
18.0  149.8579
19.0  149.9524
20.0  149.6305
21.0  156.5252
22.0  171.5301
23.0  185.9732
24.0  190.2000
25.0  187.7889
26.0  193.7493
27.0  212.7378
28.0  229.7729
29.0  230.8035
30.0  220.1984
31.0  211.7908
32.0  212.8483
33.0  218.0039
34.0  216.4021
35.0  208.9805
36.0  213.2522
37.0  239.9868
38.0  272.7844
39.0  284.7884
40.0  267.9989
41.0  235.4907
42.0  203.6040
43.0  177.2272
44.0  147.9379
45.0  110.1239
46.0  79.6584
47.0  81.5825
48.0  115.2565
49.0  151.9320
50.0  170.2825
51.0  175.3259
52.0  184.4082
53.0  206.9674
54.0  234.4652
55.0  249.2978
56.0  249.7464
57.0  256.6136
58.0  281.1075
59.0  301.8850
60.0  293.1717
61.0  258.0418
62.0  221.0561
63.0  201.6957
64.0  198.0662
65.0  191.5032
66.0  172.2620
67.0  157.9450
68.0  169.6386
69.0  195.3759
70.0  203.5584
71.0  184.8068
72.0  158.8516
73.0  149.5786
74.0  162.2367
75.0  178.9575
76.0  179.7363
77.0  171.1231
78.0  178.5909
79.0  205.1715
80.0  224.2286
81.0  218.8553
82.0  201.7354
83.0  196.2797
84.0  213.0605
85.0  240.0190
86.0  253.9057
87.0  248.8056
88.0  244.3343
89.0  253.0761
90.0  258.7438
91.0  243.1382
92.0  212.3506
93.0  185.6961
94.0  175.0550
95.0  175.4443
96.0  169.2693
97.0  147.7899
98.0  127.3492
99.0  127.6834
100.0  140.6969
