#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -1.42353088
1    1    0.377335506 
1    2    0.0621028997 
1    3    0.0946753708 
1    4    -0.00705081418 
1    5    0.374702157 
1    6    -0.060517751 
1    7    0.101520046 
1    8    0.00510451799 
1    9    0.371048956 
1    10    -0.117751475 
1    11    -0.00331567904 
1    12    0.00981247116 
1    13    0.380366772 
1    14    -0.0638074217 
1    15    -0.0973794177 
1    16    -0.00950979783 
1    17    0.389315422 
1    18    0.0565664602 
1    19    -0.105532361 
1    20    0.0129573062 
1    21    0.376938467 
1    22    0.119639494 
1    23    0.0104216835 
1    24    -0.00537375271 
1    25    0.101069534 
1    26    0.100130413 
1    27    0.0914512912 
1    28    0.102085658 
1    29    0.0965044377 
1    30    0.0971289763 
MO:2   -1.15994397
2    1    0.232425315 
2    2    0.174143037 
2    3    -0.0936515185 
2    4    -0.00273777985 
2    5    0.510487901 
2    6    -0.0112276278 
2    7    0.0313357094 
2    8    0.00844340419 
2    9    0.279498424 
2    10    -0.0188519408 
2    11    -0.170781739 
2    12    0.00480189147 
2    13    -0.212924301 
2    14    0.162885483 
2    15    -0.0831858405 
2    16    0.00463060286 
2    17    -0.491132025 
2    18    0.00658323247 
2    19    0.0366037239 
2    20    -0.0129594698 
2    21    -0.293280957 
2    22    -0.0191269234 
2    23    -0.170963736 
2    24    0.00942608125 
2    25    0.0922149972 
2    26    0.188823169 
2    27    0.0929433224 
2    28    -0.0830008943 
2    29    -0.171152391 
2    30    -0.105764218 
MO:3   -1.13190787
3    1    -0.443094784 
3    2    0.0686981068 
3    3    -0.0500041416 
3    4    0.00644451584 
3    5    -0.0404281766 
3    6    0.1755095 
3    7    0.103987666 
3    8    -0.00413348798 
3    9    0.415379539 
3    10    -0.0193493236 
3    11    0.120853929 
3    12    0.0123096671 
3    13    0.464239635 
3    14    0.0717100056 
3    15    -0.0561166753 
3    16    -0.00502493835 
3    17    0.0252204998 
3    18    0.193222279 
3    19    0.108125896 
3    20    0.00487452601 
3    21    -0.416655318 
3    22    -0.0176921398 
3    23    0.101749514 
3    24    0.00506095059 
3    25    -0.16956776 
3    26    -0.023762847 
3    27    0.151362607 
3    28    0.177049642 
3    29    0.0071693738 
3    30    -0.154998689 
MO:4   -0.849985069
4    1    -0.325068873 
4    2    -0.0961172452 
4    3    0.179304935 
4    4    0.000184373027 
4    5    -0.00729275766 
4    6    0.284907571 
4    7    0.179934052 
4    8    -0.0133304474 
4    9    0.371388871 
4    10    0.0988147379 
4    11    -0.144427514 
4    12    -0.00123821861 
4    13    -0.323171606 
4    14    0.119818787 
4    15    -0.186297844 
4    16    -0.0100239173 
4    17    -0.0342470039 
4    18    -0.287938284 
4    19    -0.170291358 
4    20    -0.0127320193 
4    21    0.339917901 
4    22    -0.100943707 
4    23    0.141617018 
4    24    -0.0173720563 
4    25    -0.19947552 
4    26    -0.0241210681 
4    27    0.198860368 
4    28    -0.196901532 
4    29    -0.0136605809 
4    30    0.196964805 
MO:5   -0.837921904
5    1    -0.239855399 
5    2    0.270100015 
5    3    -0.0895033305 
5    4    -0.000254748542 
5    5    0.385686676 
5    6    0.0846459455 
5    7    -0.101402342 
5    8    0.0085757375 
5    9    -0.173918449 
5    10    -0.0413330183 
5    11    -0.294143913 
5    12    -0.012843082 
5    13    -0.203722614 
5    14    -0.269229046 
5    15    0.0910450436 
5    16    -0.0109831939 
5    17    0.391749695 
5    18    -0.0762980898 
5    19    0.0988645972 
5    20    -0.00300057868 
5    21    -0.178024524 
5    22    0.0406686823 
5    23    0.310529705 
5    24    -0.0107621171 
5    25    -0.127528755 
5    26    0.235743156 
5    27    -0.10259734 
5    28    -0.112368016 
5    29    0.225351395 
5    30    -0.0972245003 
MO:6   -0.652077305
6    1    -0.00212339049 
6    2    0.147758103 
6    3    0.272444746 
6    4    -0.00826357428 
6    5    -0.062150476 
6    6    -0.156918861 
6    7    0.308327614 
6    8    -0.0238068263 
6    9    -0.0259500569 
6    10    -0.305768113 
6    11    -0.0324974413 
6    12    -0.0178269102 
6    13    -0.0707825244 
6    14    -0.19590857 
6    15    -0.286083782 
6    16    -0.0468263291 
6    17    -0.00301418735 
6    18    0.168849349 
6    19    -0.251614674 
6    20    0.00620926412 
6    21    -0.0826556905 
6    22    0.353257088 
6    23    -0.0141008526 
6    24    0.00726750057 
6    25    -0.205215599 
6    26    -0.257814019 
6    27    -0.21024625 
6    28    -0.262864743 
6    29    -0.196356876 
6    30    -0.269444902 
MO:7   -0.595236989
7    1    0.229616448 
7    2    -0.0895221461 
7    3    -0.225286502 
7    4    -0.0177544871 
7    5    -0.223902116 
7    6    -0.104752008 
7    7    0.141521742 
7    8    -0.0364708765 
7    9    0.235677247 
7    10    0.226470416 
7    11    0.0311661249 
7    12    -0.0344798171 
7    13    -0.222674526 
7    14    -0.0551523831 
7    15    -0.143324086 
7    16    -0.0733664199 
7    17    0.244632343 
7    18    -0.141527424 
7    19    0.204030965 
7    20    -0.0570562766 
7    21    -0.231737772 
7    22    0.152853347 
7    23    0.0409342363 
7    24    -0.0192708643 
7    25    0.289781324 
7    26    -0.24291969 
7    27    0.277181265 
7    28    -0.232646794 
7    29    0.297954969 
7    30    -0.227154818 
MO:8   -0.561757843
8    1    -0.0294945327 
8    2    0.346433082 
8    3    -0.199963529 
8    4    -0.00685724711 
8    5    0.00131881012 
8    6    -0.344415558 
8    7    -0.205872956 
8    8    0.0259136388 
8    9    -0.0184278116 
8    10    -0.0652885966 
8    11    0.422627962 
8    12    0.0254954428 
8    13    0.0264898066 
8    14    0.332892976 
8    15    -0.243254091 
8    16    0.00213896738 
8    17    -0.0181996164 
8    18    -0.319015598 
8    19    -0.227119887 
8    20    -0.0163962655 
8    21    0.00276609398 
8    22    -0.0158511852 
8    23    0.403799535 
8    24    -0.0324606147 
8    25    -0.00602877418 
8    26    0.0274377373 
8    27    -0.0399334178 
8    28    -0.0281710411 
8    29    -0.034222897 
8    30    0.0130303318 
MO:9   -0.526294544
9    1    0.0140595414 
9    2    0.185547206 
9    3    0.0298895377 
9    4    -0.0603541407 
9    5    0.0473705565 
9    6    -0.207894199 
9    7    0.397615619 
9    8    -0.0766662336 
9    9    0.0183657062 
9    10    -0.31070729 
9    11    -0.0994012712 
9    12    -0.0477460207 
9    13    0.00308591175 
9    14    0.141579281 
9    15    0.0781503737 
9    16    -0.0213507969 
9    17    -0.0499543705 
9    18    -0.166976336 
9    19    0.362881555 
9    20    -0.0721940502 
9    21    -0.0251269693 
9    22    -0.341312448 
